iter	RMSE
0	2.259665884
1	2.238604483
2	2.217500402
3	2.200303757
4	2.177526143
5	2.154350146
6	2.133355939
7	2.114066857
8	2.094129171
9	2.074651165
10	2.055890954
11	2.040532392
12	2.024434818
13	2.011923067
14	1.988960543
15	1.973396497
16	1.957520036
17	1.944367682
18	1.92465625
19	1.909447246
20	1.894854321
21	1.879239325
22	1.864449649
23	1.85096408
24	1.83859568
25	1.8193766
26	1.800283518
27	1.782186637
28	1.765462726
29	1.7478769
30	1.735876735
31	1.720674087
32	1.707082752
33	1.690456024
34	1.676644779
35	1.663988952
36	1.650256006
37	1.634541901
38	1.619373723
39	1.606526703
40	1.595725512
41	1.581981947
42	1.561116276
43	1.549131844
44	1.534889472
45	1.521251747
46	1.501923148
47	1.483649305
48	1.470039262
49	1.454512004
50	1.440700724
51	1.424086148
52	1.409774533
53	1.397316316
54	1.382861817
55	1.364492912
56	1.352163232
57	1.339649178
58	1.325236761
59	1.31529527
60	1.306560684
61	1.297159407
62	1.281194613
63	1.27061779
64	1.260802606
65	1.247081701
66	1.238606454
67	1.228923831
68	1.218005014
69	1.20724997
70	1.198339847
71	1.187377122
72	1.178171965
73	1.166879387
74	1.159463596
75	1.150939751
76	1.138753448
77	1.127664642
78	1.118443528
79	1.107667698
80	1.096375886
81	1.09000211
82	1.081508283
83	1.072082977
84	1.06068067
85	1.051689555
86	1.043373624
87	1.033135904
88	1.023893419
89	1.015514873
90	1.009677067
91	0.9995897344
92	0.9913688769
93	0.9835456907
94	0.9750427489
95	0.9639527054
96	0.9565427226
97	0.9470701196
98	0.9389506095
99	0.9309561692
