iter	Passed	Remaining
0	0	45
1	0	40
2	1	39
3	1	37
4	1	36
5	2	36
6	2	33
7	2	32
8	3	32
9	3	32
10	3	31
11	4	31
12	4	31
13	5	30
14	5	30
15	5	30
16	6	30
17	6	29
18	6	29
19	7	28
20	7	28
21	8	28
22	8	28
23	8	28
24	9	27
25	9	27
26	10	27
27	10	26
28	10	26
29	11	26
30	11	25
31	12	25
32	12	25
33	12	25
34	13	24
35	13	24
36	14	24
37	14	24
38	15	23
39	15	23
40	15	22
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	22	18
54	22	18
55	23	18
56	23	17
57	24	17
58	24	17
59	25	16
60	25	16
61	26	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	29	13
69	29	12
70	29	12
71	30	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	32	9
78	33	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	38	2
94	39	2
95	39	1
96	40	1
97	40	0
98	40	0
99	41	0
